artista_id,listeners,playcount,artistas_similares
317,83063,1958808,"Aitana, Babi, Porta"
17,568002,11668624,"Shigeto, Teebs, Shlohmo"
114,1293820,36495054,"Archive, DJ Shadow, Death in Vegas"
123,992714,18941025,"Leftfield, The Orb, Underworld"
428,19634,284780,"Fangoria, Nebulossa, La Prohibida"
240,45526,1473119,"El Jordan 23, King Savagge, Jere Klein"
96,1298567,35274621,"Marsmobil, The Funky Lowlives, Soma Sonic"
785,1261996,37013375,"Bad Books, All Get Out, Frightened Rabbit"
560,137542,1914610,"Jordan Davis, Tyler Hubbard, Russell Dickerson"
830,65724,1016037,"Old Mervs, Atlas, Harbour"
35,2997442,200086523,"Arca, The Sugarcubes, FKA twigs"
150,26274,489698,"tomandandy, John Ottman, Charlie Clouser"
214,39159,744868,"Jamby El Favo, Jon Z, Ñengo Flow"
195,272632,5431112,"Lucybell, Polimá Westcoast, La Ley"
861,254361,8450973,"Lime Cordiale, Hockey Dad, The Rions"
277,314959,16769110,NULL
433,52037,406559,"OBK, Ana Torroja, Ella Baila Sola"
505,12193,211084,"MUJERES PODRIDAS, sistema de entretenimiento, La Culpa"
658,881681,17471864,"Kenny Chesney, Jake Owen, Darius Rucker"
893,231962,5529874,"Wednesday, Hotline TNT, They Are Gutting a Body of Water"
185,129217,1666448,"Dei V, Nio Garcia, Anuel AA"
287,14828,378419,"Yampi, Xylon, DimeWest"
275,211625,1854963,"Jacob Forever, Wisin, Chino & Nacho"
208,69562,1648726,"Dei V, Jhayco, Chris Jedi"
590,343341,8408600,"Matt Redman, Casting Crowns, Phil Wickham"
193,175561,2868994,"Sech, Alex Rose, Justin Quiles"
94,3936,15272,"Milan Tavares, feels right, Hartness"
477,50347,368197,"Kiko & Shara, Decai, Los Rebujitos"
54,40727,316692,"Mathbonus, Palence, Spicules"
500,111734,910543,"La Oreja de Van Gogh, Amaia Montero, Amaral"
848,103703,1429658,"Todd Snider, Ray Wylie Hubbard, Hayes Carll"
874,310091,4991533,"Systema Solar, Mitú, Monsieur Periné"
345,18893,211318,"Sinsinati, ELYELLA, MarMi"
224,148326,2138095,"Bryant Myers, Revol, Alex Rose"
788,194636,1321018,"England Dan & John Ford Coley, Ambrosia, Christopher Cross"
124,16441,79390,"Polocorp, ATC Coco, ATC Toro"
43,4800,38973,"The Gardener, Israel Fernández, BRONQUIO"
337,277635,12469488,"Tierra Santa, Warcry, Saratoga"
531,951,15932,"Ekyrian, Abäk, Lèpoka"
702,4229545,409733061,"Megadeth, Pantera, Slayer"
414,97742,2107221,"Nach, Canserbero, Violadores del Verso"
534,204669,2566321,"Maria João Pires, Михаил Плетнёв, Эмиль Гилельс"
565,4362509,122672257,"Billy Joel, Rod Stewart, Paul McCartney"
542,1119,8165,"Grankhan, Kulto Kultibo, Little Pepe"
574,197028,3417958,"TobyMac, MercyMe, Crowder"
693,10198,250103,"BARAK, Un Corazón, Montesanto"
11,715506,16341642,"Neil Frances, Her, Two Another"
279,71712,1120002,"Dei V, Anuel AA, Bryant Myers"
401,4064,41047,"カルマ, Hiranya, Dawn of the Maya"
706,270572,7577413,"Yuuri, Ryokuoushoku Shakai, Gen Hoshino"
508,59155,896437,"El Canto del Loco, Antonio Orozco, Leiva"
643,2848720,51898770,"Robin Gibb, Andy Gibb, Barry Gibb"
855,113648,1539549,"Natalie Grant, Mandisa, MercyMe"
485,15807,356871,NULL
113,649,4579,"Indiomar, Musiko, Andy Alemany"
426,45808,927685,"El Chojin, beret, Recycled J"
523,6245,75699,"Comandante Twin, Full, ELYELLA"
138,1542472,63971690,"Fever Ray, Austra, Ladytron"
832,668059,21808002,"Snail Mail, Momma, Indigo De Souza"
16,1103930,19502017,"Tosca, Fila Brazillia, Kid Loco"
346,51873,3032726,"Ana Mena, Aitana, Samuraï"
752,205703,2939485,"The People's Thieves, Dreamers, Adam Jensen"
294,2094,34955,"Nilocos, vuelta canela, Pim pau"
708,1119477,28846496,"Coin, Wallows, Hippo Campus"
844,8758,76753,"Sensi Trails, Dale and the ZDubs, Kyle Ahern"
467,12291,316348,"Hard GZ, Arce, Swit Eme"
336,54495,448870,"El Barrio, Melendi, Andy & Lucas"
145,151830,968343,"Extrawelt, Solomun, Agoria"
415,2386,23290,"Novato, Little Pepe, Dakaneh"
596,1954635,38511362,"The Lumineers, George Ezra, The Head and the Heart"
507,113668,3715582,"Viva Suecia, Supersubmarina, Izal"
588,2953836,167604037,"Dan Auerbach, The Arcs, The Raconteurs"
779,201874,3391718,"Snail Mail, Bully, Soccer Mommy"
375,13121,237705,"Arde Bogotá, Viva Suecia, Niña Polaca"
495,176641,980936,"Enrique Granados, Manuel de Falla, Francisco Tárrega"
795,416076,7603651,"The Unlikely Candidates, Des Rocs, KONGOS"
237,125625,1344034,"Sech, Dímelo Flow, Joey Montana"
529,6825,125794,"Swit Eme, EZVIT 810, Nikone"
767,133667,2121509,"Eric Church, Dierks Bentley, Old Dominion"
266,2613323,245592309,"Katy Perry, Ava Max, Zara Larsson"
606,3029550,257095818,"Jesse®, Beach Weather, Arctic Monkeys"
558,2138131,218392606,"Inhaler, Bleachers, The Band CAMINO"
831,84001,922709,"Common Kings, J Boog, Maoli"
220,560138,9392636,"Romeo Santos, Aventura, Toby Love"
580,1269007,107805946,"Powerwolf, Iron Maiden, Ozzy Osbourne"
689,2379912,41059533,"Carlos Santana, Eric Clapton, Jeff Beck"
484,1868,4507,"Regino Sáinz de la Maza, Federico Moreno Torroba, Miguel Llobet Solés"
300,10986,107765,NULL
899,288302,3359589,"Alabama Shakes, Nourished by Time, Gary Clark Jr."
595,63125,1100498,"MercyMe, Zach Williams, We Are Messengers"
628,345977,18418817,"Milet, ReoNa, Uru"
261,9733,111232,"Jay Morales, Roa, Yeruza"
326,106321,3795859,"La Texana, VVV [Trippin'you], Margarita Quebrada"
870,265085,7070977,"Team Sleep, Deftones, Chino Moreno"
332,260962,8545194,"Joan Manuel Serrat, Ismael Serrano, Luis Eduardo Aute"
