,Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
100,God Rest Ye Merry Gentlemen,38 Special,A Wild-Eyed Christmas Night,2001,2:52,4,0.383,0.447,9,-11.078,0,0.0304,0.0815,0.95,0.163,0.442,119.899,1
101,That Old Rockin Chair,38 Special,A Wild-Eyed Christmas Night,2001,3:59,3,0.549,0.451,7,-8.363,1,0.0255,0.14,0.0,0.122,0.178,110.001,2
102,O' Holy Night,38 Special,A Wild-Eyed Christmas Night,2001,5:25,3,0.432,0.408,0,-8.34,1,0.025,0.122,0.0,0.204,0.17,150.021,1
103,Little Drummer Boy,38 Special,A Wild-Eyed Christmas Night,2001,3:51,4,0.497,0.638,9,-7.823,1,0.0316,0.00224,0.00403,0.186,0.559,110.005,2
104,It's Christmas and I Miss You,38 Special,A Wild-Eyed Christmas Night,2001,4:00,4,0.459,0.77,5,-7.152,1,0.0302,0.0779,3.06e-05,0.109,0.538,170.049,2
105,Hallelujah! It's Christmas,38 Special,A Wild-Eyed Christmas Night,2001,3:59,4,0.459,0.949,9,-6.895,1,0.121,0.000569,0.0,0.758,0.465,139.972,2
106,Santa Claus Is Back in Town,38 Special,A Wild-Eyed Christmas Night,2001,3:34,3,0.472,0.79,3,-6.827,1,0.0353,0.00644,2.32e-05,0.327,0.689,134.941,2
107,Jingle Bell Rock,38 Special,A Wild-Eyed Christmas Night,2001,2:19,4,0.401,0.928,4,-6.004,1,0.0614,0.000118,0.0,0.446,0.597,150.099,3
108,A Wild-Eyed Christmas Night,38 Special,A Wild-Eyed Christmas Night,2001,4:02,4,0.425,0.917,5,-5.785,1,0.0753,0.00178,4.2e-06,0.214,0.512,147.809,2
109,Here Comes Santa Claus,38 Special,A Wild-Eyed Christmas Night,2001,2:17,4,0.433,0.807,7,-5.424,1,0.0273,8.77e-05,0.000501,0.179,0.91,160.063,2
342,Just Push Play,Aerosmith,Just Push Play,2001,3:50,4,0.577,0.961,2,-5.715,1,0.0891,0.0612,0.0,0.0988,0.362,100.024,35
343,Fly Away From Here,Aerosmith,Just Push Play,2001,5:02,4,0.394,0.641,4,-5.363,1,0.0349,0.156,0.0,0.114,0.2,142.181,58
344,Beyond Beautiful,Aerosmith,Just Push Play,2001,4:45,4,0.326,0.857,2,-5.07,1,0.0524,0.00933,2.85e-05,0.0873,0.248,84.72,34
345,Avant Garden,Aerosmith,Just Push Play,2001,6:36,4,0.309,0.466,5,-5.028,1,0.0353,0.083,0.0,0.183,0.316,83.924,26
346,Luv Lies,Aerosmith,Just Push Play,2001,4:26,4,0.353,0.795,7,-4.822,1,0.0383,0.012,0.0,0.0646,0.414,135.938,30
347,Under My Skin,Aerosmith,Just Push Play,2001,3:47,4,0.43,0.944,7,-4.793,1,0.0647,0.00278,0.00445,0.438,0.436,90.223,26
348,Light Inside,Aerosmith,Just Push Play,2001,3:35,4,0.233,0.972,0,-4.783,1,0.104,2.27e-05,3.74e-05,0.369,0.128,180.089,23
349,Jaded,Aerosmith,Just Push Play,2001,3:35,4,0.518,0.866,9,-4.476,1,0.0509,0.00413,1.93e-05,0.246,0.671,117.983,61
350,Trip Hoppin',Aerosmith,Just Push Play,2001,4:27,4,0.497,0.958,1,-4.338,1,0.0467,0.0364,0.0,0.212,0.511,113.995,27
351,Drop Dead Gorgeous,Aerosmith,Just Push Play,2001,3:42,4,0.438,0.94,9,-4.097,1,0.0796,0.000839,0.0,0.186,0.495,98.065,25
352,Sunshine,Aerosmith,Just Push Play,2001,3:37,4,0.504,0.875,2,-4.062,1,0.0354,0.000989,0.0,0.397,0.549,110.001,40
353,Outta Your Head,Aerosmith,Just Push Play,2001,3:23,4,0.518,0.979,9,-3.578,1,0.139,0.000263,0.000391,0.126,0.308,112.011,25
354,Back Back Train,Aerosmith,Honkin' On Bobo,2004,4:24,4,0.191,0.699,7,-6.561,0,0.0486,0.174,0.0,0.16,0.16,168.568,23
355,I'm Ready,Aerosmith,Honkin' On Bobo,2004,4:15,4,0.473,0.829,9,-5.675,1,0.0463,0.0129,0.0166,0.252,0.526,134.432,21
356,Never Loved a Girl,Aerosmith,Honkin' On Bobo,2004,3:12,5,0.486,0.756,9,-5.345,1,0.0399,0.165,3.32e-05,0.432,0.816,136.513,25
357,Temperature,Aerosmith,Honkin' On Bobo,2004,2:51,4,0.562,0.788,11,-5.056,0,0.0355,0.364,3.57e-06,0.336,0.914,123.544,21
358,Jesus Is On The Main Line,Aerosmith,Honkin' On Bobo,2004,2:48,4,0.413,0.759,10,-4.529,0,0.0482,0.512,0.0,0.0855,0.457,136.086,21
359,You Gotta Move,Aerosmith,Honkin' On Bobo,2004,5:31,4,0.431,0.951,9,-4.526,1,0.0671,0.000435,0.0108,0.377,0.498,94.893,29
360,Eyesight To The Blind,Aerosmith,Honkin' On Bobo,2004,3:11,4,0.313,0.82,9,-4.226,1,0.0382,0.0615,0.000638,0.544,0.777,100.616,24
361,"Baby, Please Don't Go",Aerosmith,Honkin' On Bobo,2004,3:23,4,0.193,0.98,4,-3.909,0,0.166,0.00942,0.000873,0.17,0.52,204.81,35
362,The Grind,Aerosmith,Honkin' On Bobo,2004,3:47,3,0.423,0.801,1,-3.851,0,0.0328,0.0575,0.0,0.0903,0.472,170.102,26
363,Road Runner,Aerosmith,Honkin' On Bobo,2004,3:46,4,0.428,0.975,4,-3.567,1,0.113,0.000797,4.44e-05,0.0914,0.38,124.497,28
364,"Shame, Shame, Shame",Aerosmith,Honkin' On Bobo,2004,2:15,4,0.367,0.981,0,-3.509,1,0.194,0.0289,4.14e-06,0.224,0.36,183.506,24
365,Stop Messin' Around,Aerosmith,Honkin' On Bobo,2004,4:33,4,0.435,0.962,6,-3.124,0,0.0667,0.00274,0.0176,0.256,0.547,125.058,29
366,Another Last Goodbye,Aerosmith,Music From Another Dimension!,2012,5:46,4,0.435,0.29,4,-8.627,0,0.0318,0.886,1.01e-06,0.114,0.141,127.922,18
367,LUV XXX,Aerosmith,Music From Another Dimension!,2012,5:16,4,0.4,0.938,4,-5.414,0,0.186,0.0202,2.08e-05,0.0806,0.31,184.577,22
368,We All Fall Down,Aerosmith,Music From Another Dimension!,2012,5:14,4,0.42,0.477,8,-5.37,1,0.0285,0.137,0.0,0.113,0.222,77.812,19
369,Can't Stop Lovin' You,Aerosmith,Music From Another Dimension!,2012,4:04,4,0.526,0.822,4,-5.192,1,0.0337,0.011,0.0,0.456,0.596,139.973,21
370,Beautiful,Aerosmith,Music From Another Dimension!,2012,3:04,4,0.568,0.812,10,-4.749,1,0.0486,0.000586,0.0,0.51,0.413,117.014,22
371,Street Jesus,Aerosmith,Music From Another Dimension!,2012,6:43,4,0.374,0.98,4,-4.549,0,0.14,0.0023,4.14e-06,0.146,0.197,110.925,20
372,What Could Have Been Love,Aerosmith,Music From Another Dimension!,2012,3:44,4,0.462,0.755,9,-4.249,1,0.0301,0.0391,0.0,0.2,0.374,133.879,23
373,Something,Aerosmith,Music From Another Dimension!,2012,4:37,4,0.298,0.9,4,-4.131,1,0.0481,0.000169,0.0318,0.386,0.2,152.014,17
374,Tell Me,Aerosmith,Music From Another Dimension!,2012,3:45,3,0.235,0.716,7,-4.111,1,0.0346,0.00508,0.0,0.149,0.396,166.838,21
375,Lover Alot,Aerosmith,Music From Another Dimension!,2012,3:35,4,0.432,0.991,10,-3.956,0,0.0812,0.000199,0.000145,0.125,0.512,159.981,19
376,Out Go The Lights,Aerosmith,Music From Another Dimension!,2012,6:55,4,0.534,0.946,2,-3.932,1,0.0389,0.0893,1.53e-05,0.051,0.581,90.985,21
377,Freedom Fighter,Aerosmith,Music From Another Dimension!,2012,3:19,4,0.481,0.936,11,-3.897,0,0.0377,0.0102,0.0228,0.382,0.322,136.051,18
378,Oh Yeah,Aerosmith,Music From Another Dimension!,2012,3:40,4,0.479,0.933,7,-3.836,1,0.0382,0.000576,0.0,0.0734,0.768,132.982,22
379,Legendary Child,Aerosmith,Music From Another Dimension!,2012,4:13,4,0.431,0.936,4,-3.659,0,0.0511,0.000189,2.36e-05,0.213,0.346,110.199,21
380,Closer,Aerosmith,Music From Another Dimension!,2012,4:04,4,0.303,0.786,2,-3.01,1,0.0369,0.0386,3.46e-05,0.152,0.298,122.802,18
506,Only One Forever,Air Suppy,Yours Truly,2001,3:22,4,0.414,0.199,7,-15.19,1,0.0306,0.904,0.000544,0.108,0.201,163.867,7
507,Yours Truly,Air Suppy,Yours Truly,2001,4:37,4,0.344,0.192,9,-14.104,1,0.0285,0.92,2.75e-05,0.109,0.103,84.837,8
508,Hard to Forget Her,Air Suppy,Yours Truly,2001,4:29,4,0.579,0.335,0,-10.766,1,0.0243,0.526,0.0179,0.105,0.169,99.854,6
509,Why Don't You Come Over,Air Suppy,Yours Truly,2001,5:10,4,0.545,0.312,1,-9.508,1,0.0249,0.705,7.72e-05,0.101,0.128,94.026,6
510,Tell Me of Spring,Air Suppy,Yours Truly,2001,4:07,3,0.642,0.367,2,-9.283,0,0.0269,0.775,0.0,0.142,0.337,123.923,5
511,Body Glove,Air Suppy,Yours Truly,2001,4:34,4,0.687,0.646,0,-9.074,1,0.0399,0.148,0.0,0.1,0.972,73.961,4
512,Who Am I,Air Suppy,Yours Truly,2001,3:38,4,0.548,0.373,11,-8.852,1,0.0295,0.838,0.0,0.189,0.551,124.849,6
513,The Scene,Air Suppy,Yours Truly,2001,4:30,3,0.376,0.432,7,-8.64,1,0.0281,0.731,0.000348,0.313,0.22,74.573,6
514,Peaches and Cream,Air Suppy,Yours Truly,2001,3:41,4,0.647,0.532,4,-8.257,0,0.0251,0.391,5.82e-06,0.0944,0.655,105.93,5
515,If You Love Me,Air Suppy,Yours Truly,2001,4:22,4,0.614,0.533,0,-8.08,1,0.0261,0.735,0.000463,0.146,0.379,85.932,6
516,Don't Throw Our Love Away,Air Suppy,Yours Truly,2001,4:58,4,0.533,0.58,3,-7.018,1,0.0259,0.473,0.000385,0.0984,0.265,87.925,7
517,Learning to Make Love to You,Air Suppy,Yours Truly,2001,4:16,4,0.77,0.54,5,-6.626,1,0.0308,0.256,2.79e-06,0.169,0.782,115.247,5
518,You Are the Reason (feat. Mehnaz),Air Suppy,Yours Truly,2001,4:28,4,0.316,0.411,6,-6.299,1,0.0269,0.395,4.06e-06,0.148,0.14,79.231,42
519,A Little Bit More,Air Suppy,Mumbo Jumbo,2010,4:48,4,0.459,0.297,3,-10.877,1,0.0289,0.831,0.0,0.135,0.332,135.963,38
520,Until,Air Suppy,Mumbo Jumbo,2010,3:17,4,0.555,0.249,7,-9.522,1,0.0274,0.665,0.000199,0.109,0.171,93.761,7
521,Can I Be Your Lover,Air Suppy,Mumbo Jumbo,2010,5:17,3,0.363,0.255,5,-9.379,1,0.0281,0.665,0.0,0.358,0.188,90.682,7
522,Why,Air Suppy,Mumbo Jumbo,2010,4:12,3,0.255,0.416,7,-6.446,1,0.0288,0.882,0.000154,0.108,0.103,132.153,9
523,Dance With Me,Air Suppy,Mumbo Jumbo,2010,5:35,4,0.719,0.676,9,-5.442,1,0.0281,0.308,0.000174,0.162,0.375,129.988,10
524,Alternate Ending,Air Suppy,Mumbo Jumbo,2010,4:36,4,0.478,0.725,9,-5.389,1,0.035,0.0516,0.000271,0.286,0.153,137.034,7
525,I Won't Let It Get In The Way,Air Suppy,Mumbo Jumbo,2010,4:19,4,0.851,0.559,11,-5.373,0,0.0345,0.00833,0.00285,0.0864,0.4,117.059,7
526,A Little Bit of Everything,Air Suppy,Mumbo Jumbo,2010,3:57,4,0.597,0.634,7,-5.248,1,0.0318,0.151,0.0,0.323,0.442,106.035,8
527,Hold On,Air Suppy,Mumbo Jumbo,2010,4:41,4,0.28,0.596,2,-5.092,1,0.0273,0.0259,0.0,0.0932,0.247,152.8,9
528,Lovesex,Air Suppy,Mumbo Jumbo,2010,4:06,4,0.827,0.736,5,-4.834,0,0.04,0.107,2.16e-05,0.0737,0.443,120.027,6
529,Setting The Seen,Air Suppy,Mumbo Jumbo,2010,5:26,4,0.37,0.647,2,-4.802,1,0.0292,0.296,1.49e-05,0.186,0.358,103.927,8
530,Faith In Love,Air Suppy,Mumbo Jumbo,2010,4:30,4,0.545,0.863,9,-4.148,1,0.0303,0.0273,0.0222,0.147,0.29,120.089,9
531,Me Like You,Air Suppy,Mumbo Jumbo,2010,3:13,4,0.581,0.856,7,-3.554,1,0.074,0.0081,0.0,0.0873,0.512,151.858,6
532,Mumbo Jumbo,Air Suppy,Mumbo Jumbo,2010,4:01,4,0.628,0.805,8,-3.012,1,0.0582,0.0534,0.0,0.338,0.394,119.956,7
733,Pessi-Mystic,Alice Cooper,Brutal Planet,2000,4:56,4,0.508,0.68,8,-8.309,1,0.0336,0.0485,0.062,0.0942,0.311,104.198,10
734,Pick Up the Bones,Alice Cooper,Brutal Planet,2000,5:14,4,0.479,0.822,1,-7.27,0,0.0325,0.00373,0.262,0.0878,0.352,86.056,15
735,Take It Like a Woman,Alice Cooper,Brutal Planet,2000,4:12,4,0.38,0.645,5,-6.47,1,0.0318,0.0462,0.0125,0.145,0.163,139.497,12
736,Wicked Young Man,Alice Cooper,Brutal Planet,2000,3:50,4,0.639,0.796,6,-6.213,1,0.0431,0.00112,0.318,0.291,0.636,114.008,16
737,Blow Me a Kiss,Alice Cooper,Brutal Planet,2000,3:18,4,0.58,0.94,3,-5.946,0,0.0376,6.6e-05,0.752,0.155,0.707,112.064,12
738,Gimme,Alice Cooper,Brutal Planet,2000,4:46,4,0.412,0.907,1,-5.914,1,0.037,0.000713,0.0305,0.075,0.781,172.097,14
739,It's the Little Things,Alice Cooper,Brutal Planet,2000,4:11,4,0.422,0.922,1,-5.701,1,0.065,0.0011,0.247,0.183,0.745,175.961,14
740,Brutal Planet,Alice Cooper,Brutal Planet,2000,4:39,4,0.543,0.87,1,-5.513,1,0.0296,0.000102,0.0136,0.114,0.609,106.09,24
741,Cold Machines,Alice Cooper,Brutal Planet,2000,4:14,4,0.504,0.917,6,-5.225,1,0.0369,0.000504,0.4,0.0637,0.518,125.979,12
742,Sanctuary,Alice Cooper,Brutal Planet,2000,4:00,4,0.423,0.969,11,-5.122,0,0.0569,0.000585,0.185,0.147,0.555,92.049,13
743,Eat Some More,Alice Cooper,Brutal Planet,2000,4:37,4,0.389,0.874,4,-4.344,1,0.042,0.000143,0.454,0.22,0.489,137.963,11
744,Every Woman Has a Name,Alice Cooper,Dragontown,2001,3:43,4,0.586,0.424,0,-9.679,1,0.0264,0.0796,0.0113,0.104,0.179,114.082,8
745,Deeper,Alice Cooper,Dragontown,2001,4:34,4,0.578,0.703,2,-7.581,1,0.0314,0.00157,0.39,0.239,0.232,99.992,9
746,"Sex, Death and Money",Alice Cooper,Dragontown,2001,3:37,4,0.561,0.867,8,-7.505,1,0.0636,0.000135,0.0048,0.101,0.711,152.012,16
747,Dragontown,Alice Cooper,Dragontown,2001,5:04,4,0.532,0.706,0,-7.336,1,0.0267,0.000251,0.000248,0.191,0.129,101.05,12
748,Sister Sara,Alice Cooper,Dragontown,2001,4:33,4,0.565,0.785,2,-6.715,1,0.0348,0.000848,0.0381,0.0447,0.573,139.975,8
749,Disgraceland,Alice Cooper,Dragontown,2001,3:32,4,0.611,0.871,10,-6.633,0,0.0731,0.00337,0.0174,0.318,0.724,95.898,9
750,Triggerman,Alice Cooper,Dragontown,2001,3:58,4,0.333,0.942,7,-6.452,1,0.0742,3.08e-06,0.872,0.295,0.651,160.05,10
751,The Sentinel,Alice Cooper,Dragontown,2001,3:53,4,0.468,0.834,9,-6.188,1,0.0406,6.61e-06,0.157,0.295,0.521,146.163,6
752,Somewhere in the Jungle,Alice Cooper,Dragontown,2001,5:20,4,0.408,0.75,11,-6.09,1,0.0287,0.000183,0.595,0.0524,0.319,164.057,8
753,I Just Wanna Be God,Alice Cooper,Dragontown,2001,3:51,4,0.463,0.904,6,-5.887,1,0.0487,0.000588,0.000207,0.0597,0.526,160.105,9
754,Fantasy Man,Alice Cooper,Dragontown,2001,4:05,4,0.568,0.844,3,-5.028,1,0.0438,0.000119,0.228,0.0458,0.632,119.996,10
755,It's Much Too Late,Alice Cooper,Dragontown,2001,4:38,4,0.483,0.716,2,-4.902,1,0.0312,0.000307,2.1e-05,0.111,0.471,164.117,7
756,Pretty Ballerina,Alice Cooper,Dirty Diamonds,2005,3:01,4,0.615,0.493,2,-10.935,1,0.0292,0.244,0.0622,0.0925,0.397,113.042,9
757,Your Own Worst Enemy,Alice Cooper,Dirty Diamonds,2005,2:15,4,0.552,0.632,5,-9.619,1,0.0326,0.00716,0.0,0.142,0.893,134.091,9
758,Zombies Dance,Alice Cooper,Dirty Diamonds,2005,4:27,4,0.605,0.519,1,-9.175,1,0.0287,0.00947,0.054,0.0405,0.414,99.011,7
759,Six Hours,Alice Cooper,Dirty Diamonds,2005,3:24,3,0.474,0.36,0,-8.91,1,0.0261,0.357,3.25e-05,0.189,0.286,146.075,8
760,The Saga of Jesse Jane,Alice Cooper,Dirty Diamonds,2005,4:15,4,0.681,0.477,0,-8.578,1,0.0244,0.46,0.000195,0.14,0.69,87.987,17
761,Stand,Alice Cooper,Dirty Diamonds,2005,4:04,4,0.584,0.738,10,-7.944,0,0.0386,0.000204,0.000116,0.119,0.242,95.017,7
762,Perfect,Alice Cooper,Dirty Diamonds,2005,3:30,4,0.664,0.758,1,-7.421,1,0.0484,0.0139,0.0,0.188,0.903,118.989,10
763,You Make Me Wanna,Alice Cooper,Dirty Diamonds,2005,3:30,4,0.422,0.698,11,-7.187,0,0.0312,8.25e-05,0.000352,0.204,0.353,137.075,8
764,Woman of Mass Distraction,Alice Cooper,Dirty Diamonds,2005,3:59,4,0.515,0.795,7,-6.912,1,0.0559,9.1e-05,0.0022,0.128,0.143,137.068,10
765,Dirty Diamonds,Alice Cooper,Dirty Diamonds,2005,4:02,4,0.303,0.839,9,-6.87,0,0.268,0.00545,0.173,0.158,0.257,162.921,11
766,Run Down the Devil,Alice Cooper,Dirty Diamonds,2005,3:29,4,0.348,0.754,5,-6.81,1,0.0364,0.000139,0.00899,0.418,0.774,183.951,12
767,Sunset Babies,Alice Cooper,Dirty Diamonds,2005,3:28,4,0.549,0.764,2,-6.488,1,0.0309,0.000214,0.0242,0.338,0.668,132.0,8
768,Steal That Car,Alice Cooper,Dirty Diamonds,2005,3:16,4,0.313,0.861,1,-6.337,1,0.0537,3.71e-05,6.39e-05,0.0741,0.555,176.024,8
769,Wake the Dead,Alice Cooper,Along Came A Spider,2008,3:53,4,0.631,0.924,7,-7.958,0,0.0504,0.000117,0.000254,0.0923,0.878,138.968,14
770,Killed by Love,Alice Cooper,Along Came A Spider,2008,3:34,4,0.561,0.518,1,-7.397,1,0.0285,0.0405,0.00693,0.0802,0.329,144.141,23
771,Salvation (Acoustic Unplugged) - Bonus Track,Alice Cooper,Along Came A Spider,2008,4:50,4,0.55,0.327,7,-7.369,1,0.0293,0.617,4.6e-06,0.131,0.135,80.061,8
772,I Am the Spider (Epilogue),Alice Cooper,Along Came A Spider,2008,5:23,4,0.57,0.747,5,-6.592,1,0.0849,0.00998,0.0284,0.229,0.243,114.986,12
773,I'm Hungry,Alice Cooper,Along Came A Spider,2008,3:58,4,0.606,0.888,9,-6.02,0,0.0604,0.000775,2.71e-05,0.0513,0.502,120.023,12
774,I Know Where You Live (Prologue),Alice Cooper,Along Came A Spider,2008,4:21,4,0.689,0.91,0,-5.924,1,0.229,0.00925,0.000481,0.181,0.388,127.939,13
775,The One That Got Away,Alice Cooper,Along Came A Spider,2008,3:21,4,0.552,0.87,5,-5.788,0,0.0472,0.000646,0.000503,0.0928,0.677,124.905,13
776,(In Touch With) Your Feminine Side,Alice Cooper,Along Came A Spider,2008,3:16,4,0.619,0.883,6,-5.658,1,0.0354,0.00071,0.00498,0.129,0.881,120.007,14
777,Salvation,Alice Cooper,Along Came A Spider,2008,4:35,4,0.531,0.671,7,-5.583,1,0.0278,0.00532,0.00143,0.521,0.199,80.062,12
778,I'll Still Be There - Bonus Track,Alice Cooper,Along Came A Spider,2008,3:55,4,0.545,0.835,4,-4.773,0,0.0442,1.64e-05,0.657,0.113,0.554,129.0,9
779,Wrapped in Silk,Alice Cooper,Along Came A Spider,2008,4:16,4,0.663,0.754,4,-4.488,0,0.061,0.0159,0.000458,0.0734,0.449,127.988,12
780,Vengeance Is Mine,Alice Cooper,Along Came A Spider,2008,4:26,4,0.444,0.916,7,-4.142,1,0.0495,0.000195,0.0794,0.162,0.476,94.997,25
781,Shadow of Yourself - Bonus Track,Alice Cooper,Along Came A Spider,2008,3:33,4,0.486,0.946,0,-4.05,1,0.0473,8.12e-05,0.553,0.375,0.405,104.027,9
782,Catch Me If You Can,Alice Cooper,Along Came A Spider,2008,3:15,4,0.536,0.985,10,-4.008,1,0.0819,0.000671,0.0118,0.122,0.283,138.006,14
783,The Nightmare Returns,Alice Cooper,Welcome 2 My Nightmare,2011,1:15,4,0.42,0.486,2,-8.927,0,0.0794,0.126,0.0665,0.277,0.268,119.456,15
784,I Am Made of You,Alice Cooper,Welcome 2 My Nightmare,2011,5:32,4,0.408,0.577,9,-6.328,0,0.0287,0.176,0.0227,0.14,0.204,156.098,23
785,Something to Remember Me By,Alice Cooper,Welcome 2 My Nightmare,2011,3:16,4,0.53,0.543,9,-5.234,1,0.0289,0.416,0.0,0.135,0.212,119.79,15
786,When Hell Comes Home,Alice Cooper,Welcome 2 My Nightmare,2011,4:30,4,0.269,0.901,10,-5.136,0,0.127,0.0155,0.242,0.336,0.421,152.09,13
787,Disco Bloodbath Boogie Fever,Alice Cooper,Welcome 2 My Nightmare,2011,3:36,4,0.567,0.939,5,-4.729,0,0.0625,0.00401,1.18e-06,0.0479,0.51,120.052,18
788,The Underture,Alice Cooper,Welcome 2 My Nightmare,2011,4:37,4,0.264,0.631,7,-4.7,1,0.0355,0.0121,0.751,0.133,0.103,131.526,12
789,A Runaway Train,Alice Cooper,Welcome 2 My Nightmare,2011,3:51,4,0.458,0.978,2,-4.696,1,0.419,0.000207,0.0253,0.181,0.25,139.925,14
790,We Gotta Get Outta This Place,Alice Cooper,Welcome 2 My Nightmare,2011,3:09,4,0.459,0.841,9,-4.371,1,0.0656,0.00975,0.0395,0.0777,0.595,145.911,14
791,Last Man on Earth,Alice Cooper,Welcome 2 My Nightmare,2011,3:47,4,0.554,0.961,5,-4.281,1,0.131,0.338,0.0,0.871,0.514,150.011,20
792,The Congregation,Alice Cooper,Welcome 2 My Nightmare,2011,3:59,4,0.473,0.924,1,-4.264,1,0.178,0.000659,0.00139,0.0716,0.424,128.043,14
793,What Baby Wants,Alice Cooper,Welcome 2 My Nightmare,2011,3:43,4,0.648,0.858,1,-4.219,1,0.103,0.0199,0.0,0.361,0.505,127.913,18
794,I Gotta Get Outta Here,Alice Cooper,Welcome 2 My Nightmare,2011,4:20,4,0.601,0.954,9,-3.883,1,0.0682,0.0336,0.000135,0.0746,0.447,116.939,16
795,Caffeine,Alice Cooper,Welcome 2 My Nightmare,2011,3:24,4,0.509,0.916,2,-3.456,1,0.0616,0.000231,2.67e-05,0.359,0.617,138.925,20
796,I'll Bite Your Face Off,Alice Cooper,Welcome 2 My Nightmare,2011,4:25,4,0.586,0.994,8,-3.384,1,0.122,0.00155,0.0149,0.0533,0.273,122.548,19
797,Ghouls Gone Wild,Alice Cooper,Welcome 2 My Nightmare,2011,2:33,4,0.474,0.93,8,-3.367,1,0.0511,0.00026,0.00151,0.139,0.849,147.988,15
798,The Sound of A,Alice Cooper,Paranormal,2017,4:06,4,0.373,0.667,2,-9.524,1,0.0364,0.00684,0.674,0.14,0.227,93.017,8
799,Paranormal,Alice Cooper,Paranormal,2017,4:11,4,0.353,0.666,9,-8.169,0,0.0665,0.0438,0.193,0.111,0.164,140.413,18
800,Fireball,Alice Cooper,Paranormal,2017,4:49,4,0.395,0.817,0,-7.543,0,0.053,0.000376,0.857,0.0966,0.312,149.93,13
801,Fallen in Love,Alice Cooper,Paranormal,2017,3:33,4,0.508,0.933,2,-6.373,1,0.107,0.0046,0.000207,0.165,0.357,127.88,15
802,Paranoiac Personality,Alice Cooper,Paranormal,2017,3:11,4,0.55,0.83,1,-6.353,1,0.0373,0.00166,5.18e-06,0.268,0.671,90.041,16
803,You and All of Your Friends,Alice Cooper,Paranormal,2017,2:41,4,0.413,0.938,0,-6.197,1,0.0843,0.00126,0.0794,0.31,0.107,141.945,6
804,The Black Widow - Live in Columbus,Alice Cooper,Paranormal,2017,2:35,4,0.327,0.968,8,-6.082,1,0.158,0.00433,0.0391,0.788,0.185,87.357,1
805,Rats,Alice Cooper,Paranormal,2017,2:38,4,0.316,0.982,1,-5.986,1,0.323,0.000241,0.000838,0.148,0.21,184.06,7
806,Private Public Breakdown,Alice Cooper,Paranormal,2017,3:26,4,0.518,0.886,2,-5.963,1,0.0317,0.000303,0.00853,0.282,0.604,111.032,8
807,Only Women Bleed - Live in Columbus,Alice Cooper,Paranormal,2017,5:08,4,0.207,0.703,6,-5.947,1,0.0334,0.000533,0.466,0.461,0.162,148.175,5
808,Dead Flies,Alice Cooper,Paranormal,2017,2:22,4,0.623,0.844,1,-5.912,1,0.0368,0.00512,0.0,0.176,0.838,126.091,9
809,Dynamite Road,Alice Cooper,Paranormal,2017,2:43,4,0.568,0.926,5,-5.791,1,0.118,0.012,2.25e-06,0.338,0.523,120.083,9
810,Genuine American Girl,Alice Cooper,Paranormal,2017,4:27,4,0.538,0.914,10,-5.602,1,0.112,0.00346,9.42e-05,0.127,0.618,141.968,9
811,Holy Water,Alice Cooper,Paranormal,2017,3:08,4,0.471,0.929,9,-5.001,1,0.215,0.103,0.0,0.108,0.503,173.883,9
812,Feed My Frankenstein - Live in Columbus,Alice Cooper,Paranormal,2017,5:01,4,0.418,0.992,6,-4.701,0,0.203,0.000114,0.026,0.985,0.0759,107.188,5
813,Under My Wheels - Live in Columbus,Alice Cooper,Paranormal,2017,2:56,4,0.353,0.991,1,-4.203,0,0.124,0.000447,0.00233,0.804,0.358,143.512,5
814,Is It My Body - Live in Columbus,Alice Cooper,Paranormal,2017,2:50,4,0.347,0.97,5,-4.097,0,0.0829,0.00271,0.00547,0.982,0.304,122.114,1
815,No More Mr. Nice Guy - Live in Columbus,Alice Cooper,Paranormal,2017,3:10,4,0.391,0.979,8,-4.054,1,0.12,0.00239,0.0,0.776,0.396,130.902,5
816,Billion Dollar Babies - Live in Columbus,Alice Cooper,Paranormal,2017,3:38,4,0.402,0.988,1,-4.004,0,0.115,0.000337,0.0328,0.837,0.353,91.654,4
817,Public Animal #9 - Live in Columbus,Alice Cooper,Paranormal,2017,3:32,4,0.43,0.992,1,-3.384,0,0.0979,0.000194,3.09e-06,0.794,0.239,124.146,1
971,"Desdemona (Live at Murat Centre, Indianapolis, In, 7/25/2003)",Allman Brothers,Peakin' at the Beacon,2000,27:27,4,0.388,0.896,4,-11.224,0,0.0598,0.685,0.79,0.406,0.244,122.312,9
972,"Hot 'Lanta (Live at Murat Centre, Indianapolis, In, 7/25/2003)",Allman Brothers,Peakin' at the Beacon,2000,4:30,4,0.421,0.523,0,-8.279,1,0.0358,0.85,0.313,0.964,0.255,117.683,10
973,"The Same Thing (Live at Murat Centre, Indianapolis, In, 7/25/2003)",Allman Brothers,Peakin' at the Beacon,2000,5:07,4,0.537,0.892,7,-8.194,1,0.044,0.736,0.475,0.658,0.709,94.242,6
974,"Ain't Wastin' Time No More (Live at Murat Centre, Indianapolis, In, 7/25/2003)",Allman Brothers,Peakin' at the Beacon,2000,5:12,3,0.397,0.647,6,-7.854,0,0.0385,0.858,0.422,0.592,0.284,121.657,9
